OPE ID,School,ADDR,City,State,Zip Code,SchoolType,loans,grants,total,DL.Subsidized.Recipients,DL.Subsidized.# of Loans Originated,DL.Subsidized.$ of Loans Originated,DL.Subsidized.# of Disbursements,subudis,DL.Unsubsidized.Undergrad.Recipients,DL.Unsubsidized.Undergrad.# of Loans Originated,DL.Unsubsidized.Undergrad.$ of Loans Originated,DL.Unsubsidized.Undergrad.# of Disbursements,unsubudis,DL.Unsubsidized.Graduate.Recipients,DL.Unsubsidized.Graduate.# of Loans Originated,DL.Unsubsidized.Graduate.$ of Loans Originated,DL.Unsubsidized.Graduate.# of Disbursements,DL.Unsubsidized.Graduate.$ of Disbursements,DL.Parent.Plus.Recipients,DL.Parent.Plus.# of Loans Originated,DL.Parent.Plus.$ of Loans Originated,DL.Parent.Plus.# of Disbursements,DL.Parent.Plus.$ of Disbursements,DL.Grad.Plus.Recipients,DL.Grad.Plus.# of Loans Originated,DL.Grad.Plus.$ of Loans Originated,DL.Grad.Plus.# of Disbursements,DL.Grad.Plus.$ of Disbursements,Pell.Grant.Program.YTD Recipients,Pell.Grant.Program.YTD Disbursements,TEACH.Program.YTD Recipients,TEACH.Program.YTD Disbursements,Iraq.Afghanistan.Service.Grant.Program.YTD Recipients,Iraq.Afghanistan.Service.Grant.Program.YTD Disbursements,PBM LEN,SCH TYPE,YR 1,NBD 1,NBR 1,DRATE1,PRATE 1,YR 2,NBD 2,NBR 2,DRATE 2,PRATE 2,FFEL DEF,FFEL REP,FDSLP DEF,FDSLP REP,ETNC CODE,PROGRAM,CON DIS,REGION,AVGOR GE30
938700,Perry Technical Institute,2011 West Washington Avenue,Yakima,WA,989031239,Private,7664596,,7664596,837,1521,3650055,2462,3648889,815,1603,4020582,2579,4015707,,,,0,,73,106,501662,199,498525,,,,0,,,,,,,,5,2,2010,41,295,13.8,A,2009,29,230,12.6,A,37,284,15,168,5,D,4,10,0
954400,Spokane Falls Community College,3410 West Fort George Wright Drive,Spokane,WA,992245204,Public,12013682,,12013682,2266,2417,6731243,5154,6693395,1486,1584,5371708,3418,5320287,,,,0,,7,8,54757,16,54757,,,,0,,,,,,,,5,1,2010,249,1198,20.7,A,2009,215,1282,16.7,A,0,0,249,1198,5,D,5,10,0
970400,North Seattle Community College,9600 College Way North,Seattle,WA,981033599,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2010,0,0,,A,2009,0,0,0,A,0,0,0,0,5,D,7,10,0
970600,South Seattle Community College,6000  16th Avenue Southwest,Seattle,WA,981061499,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,2010,0,0,,A,2009,0,0,0,A,0,0,0,0,5,D,7,10,0
973900,Glen Dow Academy of Hair Design & Salons,West 309 Riverside Avenue,Spokane,WA,992010209,Profit,1031007,,1031007,204,238,491915,454,442360,198,233,667296,443,588647,,,,0,,12,12,56226,23,53540,,,,0,,,,,,,,3,3,2010,13,108,12,A,2009,21,112,18.7,A,13,108,0,0,5,D,5,10,0
1036400,Whatcom Community College,237 West Kellogg Road,Bellingham,WA,982268003,Public,6050165,,6050165,1063,1063,3403026,2639,3040512,864,864,3470146,2190,3009653,,,,0,,13,13,133352,30,116310,,,,0,,,,,,,,5,1,2010,41,264,15.5,A,2009,37,202,18.3,A,41,263,0,1,5,D,2,10,0
1043400,Renton Technical College,3000 Northeast Fourth Street,Renton,WA,980564195,Public,2723625,,2723625,492,507,1265102,1188,1263450,443,456,1472354,1067,1460175,,,,0,,2,2,10582,4,10582,,,,0,,,,,,,,5,1,2010,35,193,18.1,A,2009,22,154,14.2,A,35,193,0,0,5,D,8,10,0
1148100,Divers Institute of Technology,1341 North Northlake Way,Seattle,WA,981030000,Profit,1661392,,1661392,209,209,716335,407,706394,195,211,986410,412,954998,,,,0,,26,26,593345,51,572954,,,,0,,,,,,,,3,3,2010,45,226,19.9,A,2009,30,207,14.4,A,45,226,0,0,5,D,7,10,0
1231500,Cornish College of the Arts,1000 Lenora Street,Seattle,WA,981214604,Private,4508806,,4508806,532,583,2449941,1061,2378364,564,653,2190470,1215,2130442,,,,0,,215,250,4512958,467,4374071,,,,0,,,,,,,,6,2,2010,26,198,13.1,A,2009,31,238,13,A,22,185,4,14,5,D,7,10,0
1249600,Toni & Guy Hairdressing Academy,18336 Aurora Avenue North          Suite 103,Shoreline,WA,981335615,Profit,799122,,799122,81,103,324276,183,322535,86,107,476632,197,476587,,,,0,,7,7,60844,10,60844,,,,0,,,,,,,,3,3,2010,12,51,23.5,A,2009,7,32,21.8,A,12,51,0,0,5,D,7,10,0
